benchmark,algorithm,trace,t_total,t_exec,t_checkpoint,t_recharge,t_rest
bitcount,milp,2,0.54733424,0.02794858,0.0016854399999999999,0.51771087,-1.0650000000073795e-05
bitcount,milp,3,0.11894755,0.02794858,0.0016854399999999999,0.08932361999999999,-1.0089999999993854e-05
bitcount,milp,4,0.84967584,0.02794858,0.0016854399999999999,0.82005351,-1.1690000000081496e-05
bitcount,milp,5,1.8392708,0.02794858,0.0016854399999999999,1.80964556,-8.78000000011439e-06
bitcount,milp,6,0.7027992399999999,0.02794858,0.0016854399999999999,0.6731734300000001,-8.210000000136858e-06
bitcount,milp,7,2.01303905,0.02794858,0.0016854399999999999,1.98341268,-7.649999999876506e-06
bitcount,milp,8,0.88214804,0.02794858,0.0016854399999999999,0.85251942,-5.400000000006094e-06
bitcount,milp,9,0.92275156,0.02794858,0.0016854399999999999,0.89312793,-1.0389999999988603e-05
bitcount,milp,10,0.1055759,0.02794858,0.0016854399999999999,0.07595444999999999,-1.2569999999993003e-05
bitcount,rockclimb,1,21.16942311,0.02794858,0.94239807,20.20791492,-0.008838459999999992
bitcount,rockclimb,2,27.83677316,0.02794858,0.94239807,26.87537815,-0.008951639999999594
bitcount,rockclimb,3,24.27021675,0.02794858,0.94239807,23.30901999,-0.009149889999999994
bitcount,rockclimb,4,102.98585642,0.02794858,0.94239807,102.02485126,-0.00934149000000084
bitcount,rockclimb,5,77.51354035,0.02794858,0.94239807,76.55299234,-0.009798640000003411
bitcount,rockclimb,6,32.13597319,0.02794858,0.94239807,31.17558566,-0.00995911999999799
bitcount,rockclimb,7,57.534716270000004,0.02794858,0.94239807,56.57423239,-0.009862769999994692
bitcount,rockclimb,8,84.05138776000001,0.02794858,0.94239807,83.09077966,-0.009738549999984025
bitcount,rockclimb,9,80.9368497,0.02794858,0.94239807,79.97655435,-0.010051300000004426
bitcount,rockclimb,10,71.11157878,0.02794858,0.94239807,70.15108698,-0.009854850000000193
bitcount,schematic,1,1.01822136,0.02794858,0.05485156999999999,0.93632421,-0.0009029999999999039
bitcount,schematic,2,1.68828099,0.02794858,0.05485156999999999,1.6063715600000001,-0.0008907200000001503
bitcount,schematic,3,1.01189765,0.02794858,0.05485156999999999,0.92994223,-0.000844729999999877
bitcount,schematic,4,11.24992671,0.02794858,0.05485156999999999,11.16800006,-0.0008735000000002213
bitcount,schematic,5,8.05678103,0.02794858,0.05485156999999999,7.97486775,-0.0008868699999997898
bitcount,schematic,6,1.60287876,0.02794858,0.05485156999999999,1.5209783000000001,-0.0008996900000000363
bitcount,schematic,7,6.51837188,0.02794858,0.05485156999999999,6.43646838,-0.0008966499999998601
bitcount,schematic,8,6.98504389,0.02794858,0.05485156999999999,6.90311784,-0.0008741000000001276
bitcount,schematic,9,8.36656598,0.02794858,0.05485156999999999,8.28466076,-0.000894929999998767
bitcount,schematic,10,7.893161940000001,0.02794858,0.05485156999999999,7.8112675199999995,-0.0009057299999988555
bitcount,schematicO3,1,0.11726514,0.02794858,0.0024515199999999987,0.08690882000000001,-4.3780000000007147e-05
bitcount,schematicO3,2,0.56815342,0.02794858,0.0024515199999999987,0.53779447,-4.1150000000003684e-05
bitcount,schematicO3,3,0.14166532999999998,0.02794858,0.0024515199999999987,0.11130825,-4.30200000000186e-05
bitcount,schematicO3,4,2.6204096299999997,0.02794858,0.0024515199999999987,2.5900508700000002,-4.13400000005143e-05
bitcount,schematicO3,5,1.8752861200000002,0.02794858,0.0024515199999999987,1.8449266599999998,-4.06399999996615e-05
bitcount,schematicO3,6,0.72482485,0.02794858,0.0024515199999999987,0.69446314,-3.8390000000013136e-05
